,Respondent,rating.combination1,rating.combination2,rating.combination3,rating.combination4,rating.combination5,rating.combination6,rating.combination7,rating.combination8,rating.combination9
1,1,5,3,2,7,2,8,3,5,7
2,2,7,5,6,6,3,5,8,6,1
3,3,3,4,7,1,9,1,2,7,1
4,4,7,8,9,7,2,5,4,2,5
5,5,9,2,7,2,8,5,7,8,2
6,6,7,6,7,8,6,8,8,7,9
7,7,2,8,3,7,3,2,1,1,9
8,8,8,5,1,3,9,8,3,2,8
9,9,8,9,3,1,2,9,5,5,6
10,10,2,8,3,6,2,1,3,6,1
11,11,6,1,2,2,6,5,9,7,8
12,12,8,1,7,1,2,5,9,3,3
13,13,8,7,1,7,8,8,5,8,5
14,14,1,1,6,1,9,4,1,7,9
15,15,5,9,1,5,6,1,1,6,3
16,16,2,2,4,2,8,7,2,4,1
17,17,8,9,6,5,1,9,3,3,3
18,18,8,8,7,5,7,8,5,1,7
19,19,6,4,2,5,6,8,1,9,3
20,20,1,3,2,3,3,8,4,4,4
21,21,8,2,7,9,1,7,8,3,1
22,22,2,1,2,6,9,9,6,9,2
23,23,4,3,3,5,6,7,1,4,5
24,24,2,1,3,4,1,8,7,2,5
25,25,5,5,5,8,5,6,6,1,8
26,26,2,3,8,7,8,7,8,2,7
27,27,7,2,7,6,6,5,7,2,9
28,28,1,9,1,4,2,8,5,8,1
29,29,9,3,7,4,2,9,2,4,9
30,30,9,3,4,1,5,6,2,6,2
31,31,5,4,1,1,6,7,3,9,1
32,32,8,6,2,7,3,1,6,4,9
33,33,8,2,4,9,7,6,4,6,3
34,34,4,6,4,8,8,7,4,1,6
35,35,4,1,4,6,4,4,3,7,7
36,36,8,4,1,1,8,3,2,4,4
37,37,6,3,8,6,3,8,3,1,9
38,38,6,9,8,4,2,6,5,2,1
39,39,8,8,3,6,8,2,6,1,3
40,40,4,7,7,3,5,4,1,6,1
41,41,2,6,4,3,4,7,2,3,1
42,42,9,3,1,2,6,8,5,4,9
43,43,1,3,6,6,5,5,8,8,1
44,44,6,6,7,2,6,9,7,1,9
45,45,1,4,9,5,2,1,9,9,7
46,46,1,5,1,8,1,2,7,4,2
47,47,6,4,8,9,5,5,5,1,4
48,48,3,6,5,1,8,4,1,6,8
49,49,5,2,4,1,7,8,4,9,7
50,50,2,1,8,3,6,9,6,8,3
51,51,2,1,9,1,7,9,6,3,6
52,52,6,7,8,3,5,6,4,7,4
53,53,7,6,3,7,1,2,7,6,9
54,54,4,9,4,4,9,9,5,6,2
55,55,7,4,6,6,1,1,8,5,9
56,56,2,7,7,5,5,4,9,3,7
57,57,7,5,2,2,9,4,5,6,2
58,58,2,5,2,8,1,1,4,1,1
59,59,2,6,8,1,9,9,9,8,1
60,60,7,7,4,4,4,5,7,8,7
61,61,3,6,2,1,7,2,5,4,9
62,62,6,7,8,7,4,1,2,8,3
63,63,7,6,5,1,1,3,7,7,5
64,64,4,8,6,7,9,5,4,7,8
65,65,1,7,4,9,7,4,2,4,7
66,66,8,4,1,7,7,4,1,6,2
67,67,9,7,5,6,9,7,9,1,9
68,68,7,7,4,6,6,7,9,7,7
69,69,9,2,5,9,5,1,8,3,5
70,70,3,7,8,6,3,4,2,8,5
71,71,9,5,2,5,7,1,7,8,2
72,72,6,1,3,6,3,2,2,4,5
73,73,8,5,7,7,6,1,5,9,3
74,74,9,4,5,1,1,1,9,3,1
75,75,5,3,1,5,9,7,5,7,3
76,76,5,9,9,2,6,8,8,8,7
77,77,8,4,7,5,9,1,4,1,8
78,78,6,2,6,7,2,4,6,5,2
79,79,5,4,8,9,5,8,7,6,1
80,80,9,7,1,5,9,6,1,2,8
81,81,6,2,6,1,3,8,4,8,9
82,82,5,7,2,9,2,7,1,4,5
83,83,6,1,3,6,5,8,9,7,9
84,84,2,1,2,5,2,1,3,8,4
85,85,1,4,5,3,2,7,3,9,5
86,86,3,6,6,4,4,8,4,7,7
87,87,1,6,9,1,6,1,4,7,7
88,88,7,8,2,9,4,8,9,2,4
89,89,2,1,4,1,2,4,3,3,4
90,90,2,4,5,7,6,4,9,4,9
91,91,7,3,6,7,3,5,3,7,2
92,92,7,3,5,5,7,2,4,7,7
93,93,5,6,6,8,3,9,2,3,3
94,94,6,6,8,9,8,7,2,2,7
95,95,6,7,6,5,7,7,8,9,6
96,96,5,1,1,8,9,5,3,3,5
97,97,9,2,2,6,1,5,3,4,9
98,98,7,3,5,6,6,9,3,9,5
99,99,3,4,6,5,6,6,7,7,8
100,100,6,5,2,8,7,7,9,1,4
