Id,MSSubClass,LotFrontage,LotArea,Neighborhood,Condition1,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,65,8450,CollgCr,Norm,1Fam,2Story,5,2003,2003,Gable,196,706,150,856,GasA,Y,856,854,1710,1,0,2,1,Gd,8,0,2,548,2,2008,WD,Normal,208500
2,20,80,9600,Veenker,Feedr,1Fam,1Story,8,1976,1976,Gable,0,978,284,1262,GasA,Y,1262,0,1262,0,1,2,0,TA,6,1,2,460,5,2007,WD,Normal,181500
3,60,68,11250,CollgCr,Norm,1Fam,2Story,5,2001,2002,Gable,162,486,434,920,GasA,Y,920,866,1786,1,0,2,1,Gd,6,1,2,608,9,2008,WD,Normal,223500
4,70,60,9550,Crawfor,Norm,1Fam,2Story,5,1915,1970,Gable,0,216,540,756,GasA,Y,961,756,1717,1,0,1,0,Gd,7,1,3,642,2,2006,WD,Abnorml,140000
5,60,84,14260,NoRidge,Norm,1Fam,2Story,5,2000,2000,Gable,350,655,490,1145,GasA,Y,1145,1053,2198,1,0,2,1,Gd,9,1,3,836,12,2008,WD,Normal,250000
6,50,85,14115,Mitchel,Norm,1Fam,1.5Fin,5,1993,1995,Gable,0,732,64,796,GasA,Y,796,566,1362,1,0,1,1,TA,5,0,2,480,10,2009,WD,Normal,143000
7,20,75,10084,Somerst,Norm,1Fam,1Story,5,2004,2005,Gable,186,1369,317,1686,GasA,Y,1694,0,1694,1,0,2,0,Gd,7,1,2,636,8,2007,WD,Normal,307000
8,60,NA,10382,NWAmes,PosN,1Fam,2Story,6,1973,1973,Gable,240,859,216,1107,GasA,Y,1107,983,2090,1,0,2,1,TA,7,2,2,484,11,2009,WD,Normal,200000
9,50,51,6120,OldTown,Artery,1Fam,1.5Fin,5,1931,1950,Gable,0,0,952,952,GasA,Y,1022,752,1774,0,0,2,0,TA,8,2,2,468,4,2008,WD,Abnorml,129900
10,190,50,7420,BrkSide,Artery,2fmCon,1.5Unf,6,1939,1950,Gable,0,851,140,991,GasA,Y,1077,0,1077,1,0,1,0,TA,5,2,1,205,1,2008,WD,Normal,118000
11,20,70,11200,Sawyer,Norm,1Fam,1Story,5,1965,1965,Hip,0,906,134,1040,GasA,Y,1040,0,1040,1,0,1,0,TA,5,0,1,384,2,2008,WD,Normal,129500
12,60,85,11924,NridgHt,Norm,1Fam,2Story,5,2005,2006,Hip,286,998,177,1175,GasA,Y,1182,1142,2324,1,0,3,0,Ex,11,2,3,736,7,2006,New,Partial,345000
13,20,NA,12968,Sawyer,Norm,1Fam,1Story,6,1962,1962,Hip,0,737,175,912,GasA,Y,912,0,912,1,0,1,0,TA,4,0,1,352,9,2008,WD,Normal,144000
14,20,91,10652,CollgCr,Norm,1Fam,1Story,5,2006,2007,Gable,306,0,1494,1494,GasA,Y,1494,0,1494,0,0,2,0,Gd,7,1,3,840,8,2007,New,Partial,279500
15,20,NA,10920,NAmes,Norm,1Fam,1Story,5,1960,1960,Hip,212,733,520,1253,GasA,Y,1253,0,1253,1,0,1,1,TA,5,1,1,352,5,2008,WD,Normal,157000
16,45,51,6120,BrkSide,Norm,1Fam,1.5Unf,8,1929,2001,Gable,0,0,832,832,GasA,Y,854,0,854,0,0,1,0,TA,5,0,2,576,7,2007,WD,Normal,132000
17,20,NA,11241,NAmes,Norm,1Fam,1Story,7,1970,1970,Gable,180,578,426,1004,GasA,Y,1004,0,1004,1,0,1,0,TA,5,1,2,480,3,2010,WD,Normal,149000
18,90,72,10791,Sawyer,Norm,Duplex,1Story,5,1967,1967,Gable,0,0,0,0,GasA,Y,1296,0,1296,0,0,2,0,TA,6,0,2,516,10,2006,WD,Normal,90000
